Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Trip Duration (min),Request Hour,Request Day,Weekday
4748,City,91,Trip Completed,7/14/2016 15:03,7/14/2016 16:22,78.68333333,15,7/14/2016,Thursday
5868,City,125,Trip Completed,7/15/2016 9:16,7/15/2016 10:34,78.58333333,9,7/15/2016,Friday
5525,Airport,84,Trip Completed,7/15/2016 5:18,7/15/2016 6:36,78.48333333,5,7/15/2016,Friday
3915,City,279,Trip Completed,7/13/2016 22:08,7/13/2016 23:26,78.35,22,7/13/2016,Wednesday
6543,City,21,Trip Completed,7/15/2016 20:54,7/15/2016 22:12,78.26666667,20,7/15/2016,Friday
3985,Airport,159,Trip Completed,7/13/2016 23:15,7/14/2016 0:33,78.21666667,23,7/13/2016,Wednesday
6676,Airport,128,Trip Completed,7/15/2016 22:25,7/15/2016 23:43,78.15,22,7/15/2016,Friday
2707,Airport,219,Trip Completed,7/13/2016 1:17,7/13/2016 2:35,78.05,1,7/13/2016,Wednesday
2207,Airport,90,Trip Completed,12/7/2016 17:56,12/7/2016 19:14,78,17,12/7/2016,Wednesday
532,City,126,Trip Completed,11/7/2016 9:53,11/7/2016 11:11,78,9,11/7/2016,Monday
727,Airport,249,Trip Completed,11/7/2016 15:07,11/7/2016 16:25,78,15,11/7/2016,Monday
1465,City,263,Trip Completed,12/7/2016 4:59,12/7/2016 6:17,78,4,12/7/2016,Wednesday
4760,City,53,Trip Completed,7/14/2016 15:19,7/14/2016 16:37,77.85,15,7/14/2016,Thursday
5399,City,111,Trip Completed,7/15/2016 0:58,7/15/2016 2:16,77.8,0,7/15/2016,Friday
6182,City,254,Trip Completed,7/15/2016 17:06,7/15/2016 18:24,77.76666667,17,7/15/2016,Friday
6509,City,294,Trip Completed,7/15/2016 20:32,7/15/2016 21:50,77.73333333,20,7/15/2016,Friday
2974,Airport,128,Trip Completed,7/13/2016 6:46,7/13/2016 8:04,77.63333333,6,7/13/2016,Wednesday
6563,City,276,Trip Completed,7/15/2016 21:03,7/15/2016 22:21,77.56666667,21,7/15/2016,Friday
3622,Airport,287,Trip Completed,7/13/2016 18:57,7/13/2016 20:15,77.48333333,18,7/13/2016,Wednesday
4027,City,132,Trip Completed,7/13/2016 0:07,7/13/2016 1:25,77.3,0,7/13/2016,Wednesday
3982,Airport,48,Trip Completed,7/13/2016 23:16,7/14/2016 0:34,77.21666667,23,7/13/2016,Wednesday
3935,Airport,300,Trip Completed,7/13/2016 22:26,7/13/2016 23:43,77.08333333,22,7/13/2016,Wednesday
6695,Airport,105,Trip Completed,7/15/2016 22:45,7/16/2016 0:02,77.05,22,7/15/2016,Friday
4372,City,220,Trip Completed,7/14/2016 7:32,7/14/2016 8:49,77.05,7,7/14/2016,Thursday
362,City,22,Trip Completed,11/7/2016 8:01,11/7/2016 9:18,77,8,11/7/2016,Monday
1445,Airport,58,Trip Completed,12/7/2016 4:45,12/7/2016 6:02,77,4,12/7/2016,Wednesday
1907,City,119,Trip Completed,12/7/2016 10:36,12/7/2016 11:53,77,10,12/7/2016,Wednesday
479,Airport,130,Trip Completed,11/7/2016 9:27,11/7/2016 10:44,77,9,11/7/2016,Monday
1971,City,172,Trip Completed,12/7/2016 12:08,12/7/2016 13:25,77,12,12/7/2016,Wednesday
1808,Airport,211,Trip Completed,12/7/2016 9:13,12/7/2016 10:30,77,9,12/7/2016,Wednesday
642,City,226,Trip Completed,11/7/2016 12:34,11/7/2016 13:51,77,12,11/7/2016,Monday
1940,Airport,258,Trip Completed,12/7/2016 11:20,12/7/2016 12:37,77,11,12/7/2016,Wednesday
1975,City,279,Trip Completed,12/7/2016 12:17,12/7/2016 13:34,77,12,12/7/2016,Wednesday
1578,Airport,282,Trip Completed,12/7/2016 6:25,12/7/2016 7:42,77,6,12/7/2016,Wednesday
4140,City,24,Trip Completed,7/14/2016 4:48,7/14/2016 6:05,76.86666667,4,7/14/2016,Thursday
2952,City,179,Trip Completed,7/13/2016 6:39,7/13/2016 7:56,76.85,6,7/13/2016,Wednesday
5227,Airport,199,Trip Completed,7/14/2016 21:02,7/14/2016 22:19,76.83333333,21,7/14/2016,Thursday
5580,City,61,Trip Completed,7/15/2016 5:51,7/15/2016 7:08,76.7,5,7/15/2016,Friday
5336,Airport,201,Trip Completed,7/14/2016 22:25,7/14/2016 23:41,76.6,22,7/14/2016,Thursday
4521,City,264,Trip Completed,7/14/2016 9:15,7/14/2016 10:32,76.55,9,7/14/2016,Thursday
3970,Airport,225,Trip Completed,7/13/2016 22:57,7/14/2016 0:13,76.48333333,22,7/13/2016,Wednesday
3035,City,84,Trip Completed,7/13/2016 7:31,7/13/2016 8:47,76.43333333,7,7/13/2016,Wednesday
3511,City,98,Trip Completed,7/13/2016 17:38,7/13/2016 18:54,76.36666667,17,7/13/2016,Wednesday
3041,Airport,244,Trip Completed,7/13/2016 7:40,7/13/2016 8:56,76.31666667,7,7/13/2016,Wednesday
3393,City,191,Trip Completed,7/13/2016 14:42,7/13/2016 15:58,76.3,14,7/13/2016,Wednesday
5566,Airport,139,Trip Completed,7/15/2016 5:43,7/15/2016 6:59,76.28333333,5,7/15/2016,Friday
4941,Airport,237,Trip Completed,7/14/2016 18:23,7/14/2016 19:39,76.25,18,7/14/2016,Thursday
3444,City,184,Trip Completed,7/13/2016 16:33,7/13/2016 17:49,76.16666667,16,7/13/2016,Wednesday
3303,City,231,Trip Completed,7/13/2016 11:47,7/13/2016 13:03,76.16666667,11,7/13/2016,Wednesday
4823,Airport,160,Trip Completed,7/14/2016 17:22,7/14/2016 18:38,76.15,17,7/14/2016,Thursday
6707,Airport,227,Trip Completed,7/15/2016 22:57,7/16/2016 0:13,76.13333333,22,7/15/2016,Friday
5851,Airport,230,Trip Completed,7/15/2016 9:03,7/15/2016 10:19,76.13333333,9,7/15/2016,Friday
3190,City,274,Trip Completed,7/13/2016 9:28,7/13/2016 10:44,76.11666667,9,7/13/2016,Wednesday
3414,City,46,Trip Completed,7/13/2016 15:28,7/13/2016 16:44,76,15,7/13/2016,Wednesday
2517,Airport,52,Trip Completed,12/7/2016 21:04,12/7/2016 22:20,76,21,12/7/2016,Wednesday
462,City,75,Trip Completed,11/7/2016 9:14,11/7/2016 10:30,76,9,11/7/2016,Monday
1563,Airport,90,Trip Completed,12/7/2016 6:16,12/7/2016 7:32,76,6,12/7/2016,Wednesday
1200,Airport,109,Trip Completed,11/7/2016 21:13,11/7/2016 22:29,76,21,11/7/2016,Monday
2075,City,151,Trip Completed,12/7/2016 15:31,12/7/2016 16:47,76,15,12/7/2016,Wednesday
2076,Airport,237,Trip Completed,12/7/2016 15:31,12/7/2016 16:47,76,15,12/7/2016,Wednesday
661,Airport,248,Trip Completed,11/7/2016 12:54,11/7/2016 14:10,76,12,11/7/2016,Monday
513,Airport,249,Trip Completed,11/7/2016 9:39,11/7/2016 10:55,76,9,11/7/2016,Monday
1217,City,286,Trip Completed,11/7/2016 21:23,11/7/2016 22:39,76,21,11/7/2016,Monday
845,City,287,Trip Completed,11/7/2016 17:41,11/7/2016 18:57,76,17,11/7/2016,Monday
3391,City,81,Trip Completed,7/13/2016 14:34,7/13/2016 15:50,75.96666667,14,7/13/2016,Wednesday
6158,Airport,257,Trip Completed,7/15/2016 16:34,7/15/2016 17:50,75.96666667,16,7/15/2016,Friday
4472,City,36,Trip Completed,7/14/2016 8:39,7/14/2016 9:55,75.93333333,8,7/14/2016,Thursday
6649,Airport,268,Trip Completed,7/15/2016 22:07,7/15/2016 23:23,75.8,22,7/15/2016,Friday
2953,City,261,Trip Completed,7/13/2016 6:39,7/13/2016 7:55,75.76666667,6,7/13/2016,Wednesday
6179,Airport,109,Trip Completed,7/15/2016 16:53,7/15/2016 18:08,75.66666667,16,7/15/2016,Friday
4576,Airport,187,Trip Completed,7/14/2016 9:57,7/14/2016 11:13,75.6,9,7/14/2016,Thursday
4721,City,230,Trip Completed,7/14/2016 13:46,7/14/2016 15:01,75.58333333,13,7/14/2016,Thursday
6614,Airport,36,Trip Completed,7/15/2016 21:40,7/15/2016 22:56,75.48333333,21,7/15/2016,Friday
4263,Airport,70,Trip Completed,7/14/2016 6:10,7/14/2016 7:25,75.45,6,7/14/2016,Thursday
4963,Airport,148,Trip Completed,7/14/2016 18:35,7/14/2016 19:50,75.38333333,18,7/14/2016,Thursday
3060,Airport,44,Trip Completed,7/13/2016 7:56,7/13/2016 9:12,75.33333333,7,7/13/2016,Wednesday
5470,City,233,Trip Completed,7/15/2016 4:45,7/15/2016 6:00,75.33333333,4,7/15/2016,Friday
3441,City,119,Trip Completed,7/13/2016 16:27,7/13/2016 17:43,75.23333333,16,7/13/2016,Wednesday
4803,City,206,Trip Completed,7/14/2016 17:02,7/14/2016 18:17,75.15,17,7/14/2016,Thursday
4319,Airport,85,Trip Completed,7/14/2016 6:54,7/14/2016 8:09,75.1,6,7/14/2016,Thursday
2689,Airport,24,Trip Completed,7/13/2016 0:34,7/13/2016 1:49,75.08333333,0,7/13/2016,Wednesday
2520,City,8,Trip Completed,12/7/2016 21:05,12/7/2016 22:20,75,21,12/7/2016,Wednesday
2628,Airport,17,Trip Completed,12/7/2016 22:10,12/7/2016 23:25,75,22,12/7/2016,Wednesday
2561,Airport,19,Trip Completed,12/7/2016 21:29,12/7/2016 22:44,75,21,12/7/2016,Wednesday
771,Airport,35,Trip Completed,11/7/2016 16:19,11/7/2016 17:34,75,16,11/7/2016,Monday
980,Airport,87,Trip Completed,11/7/2016 19:00,11/7/2016 20:15,75,19,11/7/2016,Monday
1852,City,93,Trip Completed,12/7/2016 9:43,12/7/2016 10:58,75,9,12/7/2016,Wednesday
282,City,141,Trip Completed,11/7/2016 6:56,11/7/2016 8:11,75,6,11/7/2016,Monday
2331,Airport,141,Trip Completed,12/7/2016 19:13,12/7/2016 20:28,75,19,12/7/2016,Wednesday
1360,City,144,Trip Completed,11/7/2016 23:54,11/8/2016 1:09,75,23,11/7/2016,Monday
318,City,146,Trip Completed,11/7/2016 7:28,11/7/2016 8:43,75,7,11/7/2016,Monday
706,Airport,161,Trip Completed,11/7/2016 14:12,11/7/2016 15:27,75,14,11/7/2016,Monday
1527,Airport,202,Trip Completed,12/7/2016 5:52,12/7/2016 7:07,75,5,12/7/2016,Wednesday
9,Airport,235,Trip Completed,11/7/2016 0:45,11/7/2016 2:00,75,0,11/7/2016,Monday
1425,Airport,246,Trip Completed,12/7/2016 4:19,12/7/2016 5:34,75,4,12/7/2016,Wednesday
1130,City,264,Trip Completed,11/7/2016 20:27,11/7/2016 21:42,75,20,11/7/2016,Monday
1577,Airport,278,Trip Completed,12/7/2016 6:22,12/7/2016 7:37,75,6,12/7/2016,Wednesday
5861,Airport,77,Trip Completed,7/15/2016 9:11,7/15/2016 10:26,74.95,9,7/15/2016,Friday
4620,City,87,Trip Completed,7/14/2016 10:59,7/14/2016 12:14,74.85,10,7/14/2016,Thursday
3010,Airport,36,Trip Completed,7/13/2016 7:26,7/13/2016 8:40,74.81666667,7,7/13/2016,Wednesday
3006,City,259,Trip Completed,7/13/2016 7:14,7/13/2016 8:29,74.8,7,7/13/2016,Wednesday
3354,City,152,Trip Completed,7/13/2016 13:25,7/13/2016 14:39,74.76666667,13,7/13/2016,Wednesday
4776,City,106,Trip Completed,7/14/2016 16:16,7/14/2016 17:31,74.66666667,16,7/14/2016,Thursday
3271,Airport,259,Trip Completed,7/13/2016 10:28,7/13/2016 11:42,74.65,10,7/13/2016,Wednesday
3916,City,101,Trip Completed,7/13/2016 22:08,7/13/2016 23:22,74.36666667,22,7/13/2016,Wednesday
6375,City,209,Trip Completed,7/15/2016 19:10,7/15/2016 20:24,74.36666667,19,7/15/2016,Friday
6551,City,32,Trip Completed,7/15/2016 21:03,7/15/2016 22:17,74.33333333,21,7/15/2016,Friday
5556,City,216,Trip Completed,7/15/2016 5:35,7/15/2016 6:49,74.16666667,5,7/15/2016,Friday
6638,City,27,Trip Completed,7/15/2016 21:59,7/15/2016 23:13,74.13333333,21,7/15/2016,Friday
4738,Airport,148,Trip Completed,7/14/2016 14:44,7/14/2016 15:58,74.13333333,14,7/14/2016,Thursday
5606,City,289,Trip Completed,7/15/2016 6:09,7/15/2016 7:23,74.1,6,7/15/2016,Friday
5185,Airport,177,Trip Completed,7/14/2016 20:35,7/14/2016 21:49,74.08333333,20,7/14/2016,Thursday
1485,City,19,Trip Completed,12/7/2016 5:21,12/7/2016 6:35,74,5,12/7/2016,Wednesday
738,City,34,Trip Completed,11/7/2016 15:30,11/7/2016 16:44,74,15,11/7/2016,Monday
1576,City,57,Trip Completed,12/7/2016 6:27,12/7/2016 7:41,74,6,12/7/2016,Wednesday
34,City,78,Trip Completed,11/7/2016 2:20,11/7/2016 3:34,74,2,11/7/2016,Monday
422,City,84,Trip Completed,11/7/2016 8:42,11/7/2016 9:56,74,8,11/7/2016,Monday
1380,Airport,86,Trip Completed,12/7/2016 1:01,12/7/2016 2:15,74,1,12/7/2016,Wednesday
2392,City,146,Trip Completed,12/7/2016 19:50,12/7/2016 21:04,74,19,12/7/2016,Wednesday
163,City,161,Trip Completed,11/7/2016 5:35,11/7/2016 6:49,74,5,11/7/2016,Monday
33,Airport,170,Trip Completed,11/7/2016 2:17,11/7/2016 3:31,74,2,11/7/2016,Monday
1320,City,174,Trip Completed,11/7/2016 22:52,11/8/2016 0:06,74,22,11/7/2016,Monday
2413,City,186,Trip Completed,12/7/2016 20:02,12/7/2016 21:16,74,20,12/7/2016,Wednesday
999,City,212,Trip Completed,11/7/2016 19:06,11/7/2016 20:20,74,19,11/7/2016,Monday
1918,City,221,Trip Completed,12/7/2016 10:56,12/7/2016 12:10,74,10,12/7/2016,Wednesday
2105,City,227,Trip Completed,12/7/2016 16:08,12/7/2016 17:22,74,16,12/7/2016,Wednesday
1802,Airport,243,Trip Completed,12/7/2016 9:11,12/7/2016 10:25,74,9,12/7/2016,Wednesday
650,City,254,Trip Completed,11/7/2016 12:42,11/7/2016 13:56,74,12,11/7/2016,Monday
1059,Airport,258,Trip Completed,11/7/2016 19:49,11/7/2016 21:03,74,19,11/7/2016,Monday
1919,City,272,Trip Completed,12/7/2016 10:59,12/7/2016 12:13,74,10,12/7/2016,Wednesday
622,Airport,279,Trip Completed,11/7/2016 12:01,11/7/2016 13:15,74,12,11/7/2016,Monday
6471,Airport,257,Trip Completed,7/15/2016 20:17,7/15/2016 21:31,73.93333333,20,7/15/2016,Friday
2877,Airport,175,Trip Completed,7/13/2016 5:49,7/13/2016 7:03,73.91666667,5,7/13/2016,Wednesday
2936,City,69,Trip Completed,7/13/2016 6:28,7/13/2016 7:42,73.88333333,6,7/13/2016,Wednesday
3506,Airport,243,Trip Completed,7/13/2016 17:36,7/13/2016 18:50,73.86666667,17,7/13/2016,Wednesday
3620,City,39,Trip Completed,7/13/2016 18:54,7/13/2016 20:08,73.76666667,18,7/13/2016,Wednesday
3413,Airport,16,Trip Completed,7/13/2016 15:32,7/13/2016 16:45,73.71666667,15,7/13/2016,Wednesday
3728,Airport,84,Trip Completed,7/13/2016 20:03,7/13/2016 21:16,73.71666667,20,7/13/2016,Wednesday
5088,Airport,37,Trip Completed,7/14/2016 19:52,7/14/2016 21:06,73.65,19,7/14/2016,Thursday
3263,Airport,257,Trip Completed,7/13/2016 10:21,7/13/2016 11:35,73.61666667,10,7/13/2016,Wednesday
5654,City,56,Trip Completed,7/15/2016 6:56,7/15/2016 8:09,73.6,6,7/15/2016,Friday
2896,City,70,Trip Completed,7/13/2016 5:59,7/13/2016 7:13,73.56666667,5,7/13/2016,Wednesday
6691,Airport,112,Trip Completed,7/15/2016 22:47,7/16/2016 0:01,73.56666667,22,7/15/2016,Friday
2797,City,176,Trip Completed,7/13/2016 4:53,7/13/2016 6:07,73.56666667,4,7/13/2016,Wednesday
3075,City,2,Trip Completed,7/13/2016 8:02,7/13/2016 9:16,73.43333333,8,7/13/2016,Wednesday
4316,City,234,Trip Completed,7/14/2016 6:54,7/14/2016 8:07,73.43333333,6,7/14/2016,Thursday
4198,Airport,13,Trip Completed,7/14/2016 5:32,7/14/2016 6:45,73.3,5,7/14/2016,Thursday
3483,City,140,Trip Completed,7/13/2016 17:23,7/13/2016 18:36,73.28333333,17,7/13/2016,Wednesday
6457,Airport,222,Trip Completed,7/15/2016 20:06,7/15/2016 21:19,73.25,20,7/15/2016,Friday
3025,City,206,Trip Completed,7/13/2016 7:32,7/13/2016 8:45,73.23333333,7,7/13/2016,Wednesday
6382,Airport,146,Trip Completed,7/15/2016 19:15,7/15/2016 20:28,73.21666667,19,7/15/2016,Friday
2901,Airport,171,Trip Completed,7/13/2016 6:04,7/13/2016 7:17,73.2,6,7/13/2016,Wednesday
4730,City,198,Trip Completed,7/14/2016 14:12,7/14/2016 15:25,73.2,14,7/14/2016,Thursday
5379,City,154,Trip Completed,7/14/2016 23:51,7/15/2016 1:04,73.15,23,7/14/2016,Thursday
1410,Airport,18,Trip Completed,12/7/2016 3:14,12/7/2016 4:27,73,3,12/7/2016,Wednesday
1180,Airport,22,Trip Completed,11/7/2016 21:01,11/7/2016 22:14,73,21,11/7/2016,Monday
2516,City,37,Trip Completed,12/7/2016 21:05,12/7/2016 22:18,73,21,12/7/2016,Wednesday
2099,Airport,48,Trip Completed,12/7/2016 16:03,12/7/2016 17:16,73,16,12/7/2016,Wednesday
620,City,60,Trip Completed,11/7/2016 12:04,11/7/2016 13:17,73,12,11/7/2016,Monday
801,Airport,71,Trip Completed,11/7/2016 17:11,11/7/2016 18:24,73,17,11/7/2016,Monday
81,Airport,73,Trip Completed,11/7/2016 4:47,11/7/2016 6:00,73,4,11/7/2016,Monday
88,Airport,76,Trip Completed,11/7/2016 4:54,11/7/2016 6:07,73,4,11/7/2016,Monday
1444,City,77,Trip Completed,12/7/2016 4:43,12/7/2016 5:56,73,4,12/7/2016,Wednesday
603,Airport,85,Trip Completed,11/7/2016 11:43,11/7/2016 12:56,73,11,11/7/2016,Monday
1454,City,108,Trip Completed,12/7/2016 4:54,12/7/2016 6:07,73,4,12/7/2016,Wednesday
47,City,124,Trip Completed,11/7/2016 3:22,11/7/2016 4:35,73,3,11/7/2016,Monday
1110,City,126,Trip Completed,11/7/2016 20:17,11/7/2016 21:30,73,20,11/7/2016,Monday
1571,Airport,129,Trip Completed,12/7/2016 6:28,12/7/2016 7:41,73,6,12/7/2016,Wednesday
1308,City,182,Trip Completed,11/7/2016 22:41,11/7/2016 23:54,73,22,11/7/2016,Monday
330,Airport,223,Trip Completed,11/7/2016 7:39,11/7/2016 8:52,73,7,11/7/2016,Monday
1422,Airport,225,Trip Completed,12/7/2016 4:07,12/7/2016 5:20,73,4,12/7/2016,Wednesday
1203,City,235,Trip Completed,11/7/2016 21:18,11/7/2016 22:31,73,21,11/7/2016,Monday
5676,City,239,Trip Completed,7/15/2016 7:10,7/15/2016 8:23,73,7,7/15/2016,Friday
715,City,244,Trip Completed,11/7/2016 14:40,11/7/2016 15:53,73,14,11/7/2016,Monday
1645,City,248,Trip Completed,12/7/2016 7:17,12/7/2016 8:30,73,7,12/7/2016,Wednesday
1686,City,263,Trip Completed,12/7/2016 7:49,12/7/2016 9:02,73,7,12/7/2016,Wednesday
477,City,296,Trip Completed,11/7/2016 9:28,11/7/2016 10:41,73,9,11/7/2016,Monday
4300,City,78,Trip Completed,7/14/2016 6:46,7/14/2016 7:59,72.81666667,6,7/14/2016,Thursday
4126,City,188,Trip Completed,7/14/2016 4:40,7/14/2016 5:53,72.8,4,7/14/2016,Thursday
6345,City,183,Trip Completed,7/15/2016 18:44,7/15/2016 19:57,72.76666667,18,7/15/2016,Friday
5480,City,155,Trip Completed,7/15/2016 4:51,7/15/2016 6:03,72.71666667,4,7/15/2016,Friday
3725,City,274,Trip Completed,7/13/2016 20:00,7/13/2016 21:13,72.65,20,7/13/2016,Wednesday
2708,Airport,105,Trip Completed,7/13/2016 1:22,7/13/2016 2:35,72.63333333,1,7/13/2016,Wednesday
6004,Airport,220,Trip Completed,7/15/2016 12:12,7/15/2016 13:25,72.63333333,12,7/15/2016,Friday
5175,City,235,Trip Completed,7/14/2016 20:27,7/14/2016 21:40,72.58333333,20,7/14/2016,Thursday
4830,Airport,122,Trip Completed,7/14/2016 17:23,7/14/2016 18:36,72.56666667,17,7/14/2016,Thursday
4654,Airport,237,Trip Completed,7/14/2016 11:57,7/14/2016 13:09,72.56666667,11,7/14/2016,Thursday
6309,Airport,29,Trip Completed,7/15/2016 18:29,7/15/2016 19:42,72.45,18,7/15/2016,Friday
4884,Airport,55,Trip Completed,7/14/2016 17:53,7/14/2016 19:06,72.43333333,17,7/14/2016,Thursday
5559,Airport,124,Trip Completed,7/15/2016 5:39,7/15/2016 6:52,72.43333333,5,7/15/2016,Friday
6705,Airport,138,Trip Completed,7/15/2016 22:57,7/16/2016 0:09,72.43333333,22,7/15/2016,Friday
6610,City,142,Trip Completed,7/15/2016 21:49,7/15/2016 23:01,72.43333333,21,7/15/2016,Friday
3753,City,29,Trip Completed,7/13/2016 20:30,7/13/2016 21:42,72.4,20,7/13/2016,Wednesday
2894,City,52,Trip Completed,7/13/2016 6:01,7/13/2016 7:13,72.33333333,6,7/13/2016,Wednesday
6273,City,66,Trip Completed,7/15/2016 18:09,7/15/2016 19:22,72.33333333,18,7/15/2016,Friday
6024,Airport,37,Trip Completed,7/15/2016 12:43,7/15/2016 13:55,72.3,12,7/15/2016,Friday
3857,City,170,Trip Completed,7/13/2016 21:34,7/13/2016 22:46,72.28333333,21,7/13/2016,Wednesday
3379,City,2,Trip Completed,7/13/2016 14:23,7/13/2016 15:35,72.26666667,14,7/13/2016,Wednesday
3617,Airport,123,Trip Completed,7/13/2016 18:55,7/13/2016 20:07,72.26666667,18,7/13/2016,Wednesday
4790,City,30,Trip Completed,7/14/2016 16:43,7/14/2016 17:56,72.25,16,7/14/2016,Thursday
5340,Airport,194,Trip Completed,7/14/2016 22:32,7/14/2016 23:44,72.25,22,7/14/2016,Thursday
3229,Airport,202,Trip Completed,7/13/2016 9:54,7/13/2016 11:06,72.23333333,9,7/13/2016,Wednesday
3154,City,257,Trip Completed,7/13/2016 9:06,7/13/2016 10:18,72.23333333,9,7/13/2016,Wednesday
6111,City,270,Trip Completed,7/15/2016 15:03,7/15/2016 16:15,72.23333333,15,7/15/2016,Friday
3134,City,212,Trip Completed,7/13/2016 8:40,7/13/2016 9:52,72.21666667,8,7/13/2016,Wednesday
4615,City,247,Trip Completed,7/14/2016 10:51,7/14/2016 12:04,72.21666667,10,7/14/2016,Thursday
6205,Airport,85,Trip Completed,7/15/2016 17:26,7/15/2016 18:38,72.2,17,7/15/2016,Friday
5564,Airport,25,Trip Completed,7/15/2016 5:41,7/15/2016 6:53,72.18333333,5,7/15/2016,Friday
5487,City,240,Trip Completed,7/15/2016 4:50,7/15/2016 6:03,72.18333333,4,7/15/2016,Friday
6700,City,248,Trip Completed,7/15/2016 22:49,7/16/2016 0:02,72.16666667,22,7/15/2016,Friday
5698,Airport,242,Trip Completed,7/15/2016 7:31,7/15/2016 8:43,72.13333333,7,7/15/2016,Friday
6333,Airport,24,Trip Completed,7/15/2016 18:41,7/15/2016 19:53,72.11666667,18,7/15/2016,Friday
3657,Airport,224,Trip Completed,7/13/2016 19:20,7/13/2016 20:33,72.11666667,19,7/13/2016,Wednesday
5932,Airport,73,Trip Completed,7/15/2016 10:09,7/15/2016 11:21,72.06666667,10,7/15/2016,Friday
6402,Airport,74,Trip Completed,7/15/2016 19:29,7/15/2016 20:41,72.06666667,19,7/15/2016,Friday
4285,City,226,Trip Completed,7/14/2016 6:33,7/14/2016 7:45,72.05,6,7/14/2016,Thursday
4726,City,37,Trip Completed,7/14/2016 13:52,7/14/2016 15:04,72.03333333,13,7/14/2016,Thursday
64,City,52,Trip Completed,11/7/2016 4:16,11/7/2016 5:28,72,4,11/7/2016,Monday
2444,Airport,63,Trip Completed,12/7/2016 20:23,12/7/2016 21:35,72,20,12/7/2016,Wednesday
645,City,79,Trip Completed,11/7/2016 12:39,11/7/2016 13:51,72,12,11/7/2016,Monday
257,Airport,89,Trip Completed,11/7/2016 6:38,11/7/2016 7:50,72,6,11/7/2016,Monday
1386,Airport,110,Trip Completed,12/7/2016 1:30,12/7/2016 2:42,72,1,12/7/2016,Wednesday
640,Airport,127,Trip Completed,11/7/2016 12:27,11/7/2016 13:39,72,12,11/7/2016,Monday
1628,Airport,128,Trip Completed,12/7/2016 7:05,12/7/2016 8:17,72,7,12/7/2016,Wednesday
1902,City,131,Trip Completed,12/7/2016 10:34,12/7/2016 11:46,72,10,12/7/2016,Wednesday
458,Airport,137,Trip Completed,11/7/2016 9:12,11/7/2016 10:24,72,9,11/7/2016,Monday
1976,Airport,142,Trip Completed,12/7/2016 12:18,12/7/2016 13:30,72,12,12/7/2016,Wednesday
2129,Airport,156,Trip Completed,12/7/2016 17:06,12/7/2016 18:18,72,17,12/7/2016,Wednesday
2447,Airport,173,Trip Completed,12/7/2016 20:24,12/7/2016 21:36,72,20,12/7/2016,Wednesday
1666,City,177,Trip Completed,12/7/2016 7:37,12/7/2016 8:49,72,7,12/7/2016,Wednesday
320,City,187,Trip Completed,11/7/2016 7:32,11/7/2016 8:44,72,7,11/7/2016,Monday
